Project ID,Building,Building ID,Level,GIA,Area,Actual start,Actual end,Actual duration,Worker-hours,Actual production rate,Labour productivity,Number of workers,Avg number of workers,Worker density,Cycle time,Planned start,Planned end,Planned duration,Planned production rate,Planned cycle time,Crane Asitha,Cranes,Pours,Batch area,Labour Issues,Level of Offsite Construction,Location and Logistical Issues,Supply Chain Issues,Design Complexity,Design Delays,Core,Columns,Beams,Slabs Asitha,Slabs,Frame
8,Oxford Biochemistry,K,2,2105,5. Between 2000 and 2500 m2,10/08/2019,11/09/2019,25,6044,86,0.35,25,4. Between 21 and 25,84,16,,,,,,1.0,1.0,3,702,0,2,1,1,0,0,Twinwalls,Precast,In-situ (flat slab/part of slab pour),Lattice,Lattice,3. Vertical (off-site) and Slabs (lattice)
8,Oxford Biochemistry,K,3,2251,5. Between 2000 and 2500 m2,31/08/2019,30/09/2019,24,6028,96,0.37,26,5. Between 26 and 30,87,15,,,,,,1.0,1.0,4,563,0,2,1,1,0,0,Twinwalls,Precast,In-situ (flat slab/part of slab pour),Lattice,Lattice,3. Vertical (off-site) and Slabs (lattice)
8,Oxford Biochemistry,K,4,2054,5. Between 2000 and 2500 m2,19/09/2019,22/10/2019,27,8522,78,0.24,32,6. Between 31 and 35,64,22,,,,,,1.0,1.0,2,1027,0,2,1,1,0,0,Twinwalls,Precast,In-situ (flat slab/part of slab pour),Lattice,Lattice,3. Vertical (off-site) and Slabs (lattice)
9,South Quay Plaza 1,L,1,851,2. Between 500 and 1000 m2,08/06/2017,21/09/2017,79,41499,11,0.02,53,9. Between 51 and 62,16,72,,,,,,2.0,2.0,2,426,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,2,665,2. Between 500 and 1000 m2,14/09/2017,10/10/2017,21,9887,32,0.07,47,8. Between 41 and 50,14,13,,,,,,2.0,2.0,2,333,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,3,821,2. Between 500 and 1000 m2,30/09/2017,23/10/2017,18,7004,46,0.12,39,7. Between 36 and 40,21,10,,,,,,2.0,2.0,2,410,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,4,823,2. Between 500 and 1000 m2,13/10/2017,01/11/2017,16,5617,53,0.15,36,7. Between 36 and 40,23,10,,,,,,2.0,2.0,2,411,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,5,823,2. Between 500 and 1000 m2,26/10/2017,15/11/2017,17,7109,50,0.12,43,8. Between 41 and 50,19,13,,,,,,2.0,2.0,2,411,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,6,823,2. Between 500 and 1000 m2,11/11/2017,29/11/2017,15,5376,57,0.15,37,7. Between 36 and 40,22,8,,,,,,2.0,2.0,2,411,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,7,823,2. Between 500 and 1000 m2,22/11/2017,09/12/2017,15,5425,57,0.15,37,7. Between 36 and 40,22,12,,,,,,2.0,2.0,2,411,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
